epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
95,26216.7,1.09485,0.71668,1.43418,0.93231,0.92752,0.94726,0.73801,0.94757,0.50255,1.25222,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,26485.3,1.09182,0.71528,1.42565,0.94217,0.91969,0.94608,0.73872,0.94721,0.50137,1.25262,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,26752.3,1.10279,0.72288,1.43799,0.94624,0.91999,0.94748,0.73909,0.94563,0.50321,1.25272,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,27019.7,1.08513,0.7149,1.42375,0.94525,0.91835,0.94809,0.73969,0.9466,0.50595,1.25393,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,27287.4,1.08815,0.70394,1.42548,0.94204,0.92321,0.94977,0.74035,0.94615,0.50569,1.25361,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,27554.5,1.08532,0.71208,1.42611,0.94373,0.91936,0.95008,0.74267,0.94491,0.50362,1.25282,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,27822.7,1.09018,0.70968,1.42128,0.95205,0.91232,0.95095,0.74193,0.94514,0.5028,1.25439,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,28091,1.07708,0.7057,1.41456,0.94939,0.91239,0.94742,0.74204,0.94371,0.50039,1.25317,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,28359.2,1.0647,0.69009,1.40517,0.95117,0.90943,0.9474,0.74183,0.9431,0.50122,1.25283,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,28628.3,1.07225,0.69493,1.41369,0.95315,0.9112,0.94507,0.7429,0.94144,0.50186,1.25102,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,28896.8,1.06426,0.68805,1.4036,0.95795,0.9065,0.94681,0.74278,0.93939,0.50008,1.24878,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,29164.1,1.06291,0.68663,1.4063,0.95557,0.90654,0.94635,0.74287,0.93835,0.49877,1.24836,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,29431,1.05679,0.68173,1.3935,0.95903,0.90739,0.94691,0.74319,0.93763,0.49749,1.24793,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,29698.9,1.06115,0.68817,1.39367,0.95563,0.90842,0.95016,0.74454,0.93688,0.49719,1.24769,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,29966.2,1.04459,0.67722,1.38579,0.95644,0.90842,0.9481,0.74406,0.93714,0.49854,1.24794,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,30233.8,1.05713,0.67095,1.39284,0.95714,0.90751,0.95008,0.74444,0.937,0.49864,1.2487,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,30501.4,1.04569,0.68141,1.38073,0.94802,0.91398,0.95011,0.74462,0.93595,0.49938,1.24785,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,30770.6,1.04774,0.66687,1.38443,0.94885,0.91368,0.95104,0.74466,0.93541,0.49904,1.24708,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,31038.5,1.03896,0.67025,1.3807,0.94797,0.91463,0.95116,0.74651,0.93529,0.49762,1.24691,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,31305.6,1.03527,0.65078,1.37526,0.95346,0.91202,0.95124,0.74595,0.93583,0.4977,1.24749,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,31574.6,1.04015,0.66737,1.37596,0.95323,0.91132,0.95122,0.74708,0.93544,0.49723,1.2468,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,31842,1.0347,0.667,1.37567,0.95327,0.91088,0.95054,0.74648,0.93448,0.49675,1.24611,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,32108.8,1.03737,0.65125,1.36643,0.94904,0.91547,0.9505,0.7463,0.93347,0.49656,1.24529,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,32375.8,1.02694,0.64423,1.36228,0.95027,0.91547,0.95039,0.74661,0.93313,0.49605,1.24435,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,32641.9,1.01838,0.6466,1.35621,0.94971,0.91547,0.95022,0.74644,0.93193,0.49585,1.24333,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,32908.7,1.01495,0.64668,1.35831,0.94821,0.91647,0.94995,0.7473,0.93097,0.49497,1.24271,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,33183.4,1.02304,0.64804,1.35863,0.95264,0.90992,0.94976,0.74658,0.93063,0.49419,1.24225,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,33457.1,1.00822,0.64717,1.35399,0.95263,0.91153,0.94985,0.74601,0.9299,0.49386,1.2416,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,33726.3,1.01555,0.64363,1.35784,0.95272,0.91253,0.94958,0.7451,0.92911,0.4938,1.24113,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,33997,1.00792,0.63764,1.34743,0.95322,0.91014,0.94967,0.7458,0.9286,0.49351,1.24077,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,34267.6,1.00198,0.62711,1.33966,0.94845,0.91536,0.94734,0.74554,0.92873,0.49437,1.24095,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
126,34538.3,1.00112,0.64153,1.34795,0.95329,0.91064,0.94935,0.74571,0.92872,0.49449,1.24082,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,34810.4,0.9896,0.62769,1.34489,0.94692,0.91753,0.94715,0.7452,0.92872,0.49412,1.2407,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,35082.7,1.00036,0.62769,1.34526,0.9466,0.91789,0.94721,0.74483,0.9287,0.49354,1.24063,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,35354.7,0.99153,0.62618,1.34438,0.94666,0.91784,0.94712,0.74427,0.92812,0.49276,1.24002,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,35626.5,0.99257,0.61835,1.33932,0.94664,0.91839,0.94717,0.74419,0.92777,0.49179,1.23976,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,35898.1,0.98651,0.6197,1.33462,0.95102,0.91257,0.94768,0.74403,0.92751,0.49268,1.23925,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,36171.1,0.97448,0.60994,1.32579,0.95208,0.91232,0.94766,0.74527,0.92748,0.49197,1.23867,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
133,36442.9,0.97828,0.61522,1.33027,0.95178,0.91298,0.94751,0.74564,0.92707,0.4916,1.23836,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
134,36714.8,0.97271,0.61402,1.32482,0.95414,0.90956,0.94743,0.74528,0.92677,0.49185,1.23798,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222
135,36987.5,0.96551,0.61396,1.3289,0.94992,0.91139,0.94712,0.74515,0.92608,0.49183,1.238,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156
136,37371.3,0.89019,0.44668,1.25718,0.94986,0.91097,0.94424,0.74539,0.92595,0.49162,1.23804,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
137,37635,0.88941,0.45109,1.25108,0.94973,0.91116,0.94417,0.74555,0.92545,0.49205,1.23815,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024
138,37895.7,0.87509,0.43973,1.24006,0.94875,0.91245,0.94413,0.74506,0.92487,0.49211,1.23777,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958
